Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.08,0.09,0.09,0.1,0.1,0.11,4.50%,-0.70%,0.10%
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a
Czech Republic,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.09,0.11,0.11,0.12,0.14,0.14,0.18,0.19,0.2,0.2,0.21,0.22,0.21,0.24,0.25,0.24,0.27,0.32,0.32,0.32,0.32,0.31,0.34,0.32,0.33,0.33,0.32,0.32,0.3,0.3,0.28,0.34,0.29,0.29,0.29,0.26,0.27,0.29,0.3,0.29,0.3,4.30%,-0.40%,0.20%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.02,0.04,0.05,0.07,0.07,0.08,0.09,0.09,0.1,0.12,0.13,0.16,0.16,0.18,0.19,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.17,0.17,0.16,0.19,0.16,0.15,0.14,0.12,0.12,0.12,0.12,0.11,0.11,-7.00%,-4.10%,0.10%
Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.03,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-8.50%,-6.30%,?
Finland,-,-,-,-,-,-,-,-,-,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.1,0.1,0.1,0.11,0.12,0.12,0.12,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.07,0.08,0.07,-3.80%,-6.70%,0.10%
France,0.18,0.19,0.22,0.26,0.3,0.34,0.41,0.48,0.57,0.59,0.66,0.71,0.74,0.79,0.87,0.91,0.92,0.88,0.94,0.96,1.03,1.03,1.05,1.04,1.02,1.09,1.19,1.19,1.22,1.16,1.24,1.37,1.31,1.4,1.43,1.5,1.57,1.57,1.65,1.68,1.72,1.66,1.61,1.67,1.61,1.78,1.55,1.6,1.63,1.36,1.47,1.6,1.61,1.54,1.56,1.70%,-0.80%,1.10%
Germany,0.11,0.13,0.17,0.28,0.4,0.58,0.76,0.98,1.27,1.59,1.67,1.77,1.88,2.02,2.23,2.2,2.1,1.95,2.03,2.12,2.09,2.09,2.26,2.23,2.28,2.29,2.41,2.38,2.52,2.57,2.8,3.13,2.99,3.02,3.01,2.99,3.15,3.14,3.18,3.2,3.25,3.31,3.19,3.22,3.04,3.17,2.91,2.92,3.06,2.66,2.77,3.06,3.16,3.09,3.19,3.30%,-0.40%,2.30%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,^,^,^,^,0.01,0.03,0.05,0.07,0.07,0.07,0.08,0.09,0.09,0.11,0.14,0.15,0.12,0.13,0.17,0.15,0.13,0.1,0.11,0.14,0.17,0.17,0.19,9.00%,1.50%,0.10%
Hungary,0.05,0.06,0.08,0.1,0.12,0.13,0.14,0.15,0.17,0.19,0.21,0.25,0.27,0.29,0.31,0.33,0.34,0.36,0.36,0.36,0.37,0.39,0.39,0.38,0.39,0.37,0.37,0.33,0.35,0.35,0.38,0.43,0.41,0.41,0.41,0.4,0.45,0.45,0.5,0.49,0.51,0.48,0.45,0.44,0.38,0.41,0.39,0.35,0.33,0.29,0.31,0.34,0.36,0.35,0.35,2.00%,-2.40%,0.20%
